State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Gujarat,ANAND,2011,Kharif,Maize,200,300
Gujarat,ANAND,2011,Kharif,Rice,89000,198500
Gujarat,ANAND,2011,Rabi,Maize,1400,3700
Gujarat,ANAND,2011,Summer,Maize,700,1400
Gujarat,ANAND,2011,Summer,Rice,2800,6300
Gujarat,ANAND,2011,Whole Year,Banana,9800,740600
Gujarat,ANAND,2012,Kharif,Maize,600,900
Gujarat,ANAND,2012,Kharif,Rice,94400,238900
Gujarat,ANAND,2012,Summer,Maize,100,100
Gujarat,ANAND,2012,Summer,Rice,700,2200
Gujarat,ANAND,2012,Whole Year,Banana,9800,775100
Gujarat,BANAS KANTHA,1997,Whole Year,Maize,6500,14800
Gujarat,BANAS KANTHA,1998,Kharif,Maize,6800,13000
Gujarat,BANAS KANTHA,1999,Kharif,Maize,6700,10000
Gujarat,BANAS KANTHA,2000,Kharif,Maize,6200,9400
Gujarat,BANAS KANTHA,2001,Kharif,Maize,9800,30600
Gujarat,BANAS KANTHA,2002,Kharif,Maize,7800,6500
Gujarat,BANAS KANTHA,2003,Kharif,Maize,9400,25700
Gujarat,BANAS KANTHA,2004,Kharif,Maize,8500,17000
Gujarat,BANAS KANTHA,2005,Kharif,Maize,10400,24500
Gujarat,BANAS KANTHA,2006,Kharif,Maize,10700,16600
Gujarat,BANAS KANTHA,2007,Kharif,Maize,11600,31300
Gujarat,BANAS KANTHA,2008,Kharif,Maize,10700,18900
Gujarat,BANAS KANTHA,2009,Kharif,Maize,9400,14900
Gujarat,BANAS KANTHA,2010,Kharif,Maize,9800,21600
Gujarat,BANAS KANTHA,2010,Rabi,Maize,500,900
Gujarat,BANAS KANTHA,2011,Kharif,Maize,11400,24500
Gujarat,BANAS KANTHA,2011,Rabi,Maize,300,700
Gujarat,BANAS KANTHA,2012,Kharif,Maize,7900,13600
Gujarat,BANAS KANTHA,2012,Rabi,Maize,100,200
Gujarat,BHARUCH,1997,Whole Year,Banana,5100,305000
Gujarat,BHARUCH,1997,Whole Year,Maize,3600,6000
Gujarat,BHARUCH,1997,Whole Year,Rice,25100,24600
Gujarat,BHARUCH,1998,Kharif,Maize,4100,7100
Gujarat,BHARUCH,1998,Kharif,Rice,21100,25200
Gujarat,BHARUCH,1998,Whole Year,Banana,4000,244600
Gujarat,BHARUCH,1999,Kharif,Maize,11000,14200
Gujarat,BHARUCH,1999,Kharif,Rice,27200,23700
Gujarat,BHARUCH,1999,Whole Year,Banana,3700,240200
Gujarat,BHARUCH,2000,Kharif,Maize,7000,5300
Gujarat,BHARUCH,2000,Kharif,Rice,27900,17600
Gujarat,BHARUCH,2000,Whole Year,Banana,4300,254600
Gujarat,BHARUCH,2001,Kharif,Maize,10200,20300
Gujarat,BHARUCH,2001,Kharif,Rice,24200,25200
Gujarat,BHARUCH,2001,Summer,Rice,200,600
Gujarat,BHARUCH,2001,Whole Year,Banana,5000,295700
Gujarat,BHARUCH,2002,Kharif,Maize,4100,6800
Gujarat,BHARUCH,2002,Kharif,Rice,23700,24200
Gujarat,BHARUCH,2002,Summer,Rice,600,2900
Gujarat,BHARUCH,2003,Kharif,Maize,1700,3000
Gujarat,BHARUCH,2003,Kharif,Rice,13300,21900
Gujarat,BHARUCH,2003,Summer,Rice,500,1800
Gujarat,BHARUCH,2003,Whole Year,Banana,6800,502400
Gujarat,BHARUCH,2004,Kharif,Maize,2200,2000
Gujarat,BHARUCH,2004,Kharif,Rice,12300,15800
Gujarat,BHARUCH,2004,Summer,Rice,200,500
Gujarat,BHARUCH,2004,Whole Year,Banana,10100,640400
Gujarat,BHARUCH,2005,Kharif,Maize,2900,4600
Gujarat,BHARUCH,2005,Kharif,Rice,12900,18100
Gujarat,BHARUCH,2005,Summer,Rice,200,700
Gujarat,BHARUCH,2005,Whole Year,Banana,10300,690500
Gujarat,BHARUCH,2006,Kharif,Maize,3000,900
Gujarat,BHARUCH,2006,Kharif,Rice,10500,15200
Gujarat,BHARUCH,2006,Summer,Rice,400,1100
Gujarat,BHARUCH,2006,Whole Year,Banana,7300,467500
Gujarat,BHARUCH,2007,Kharif,Maize,1800,2500
Gujarat,BHARUCH,2007,Kharif,Rice,11400,16800
Gujarat,BHARUCH,2007,Summer,Rice,1200,3700
Gujarat,BHARUCH,2007,Whole Year,Banana,9600,555800
Gujarat,BHARUCH,2008,Kharif,Maize,2100,3000
Gujarat,BHARUCH,2008,Kharif,Rice,14600,24400
Gujarat,BHARUCH,2008,Summer,Rice,800,2500
Gujarat,BHARUCH,2008,Whole Year,Banana,8700,564400
Gujarat,BHARUCH,2009,Kharif,Maize,2400,2300
Gujarat,BHARUCH,2009,Kharif,Rice,12200,19400
Gujarat,BHARUCH,2009,Summer,Rice,300,1000
Gujarat,BHARUCH,2009,Whole Year,Banana,4900,325600
Gujarat,BHARUCH,2010,Kharif,Maize,2600,4300
Gujarat,BHARUCH,2010,Kharif,Rice,11400,19200
Gujarat,BHARUCH,2010,Rabi,Maize,1300,2400
Gujarat,BHARUCH,2010,Summer,Maize,300,600
Gujarat,BHARUCH,2010,Summer,Rice,1800,5500
Gujarat,BHARUCH,2010,Whole Year,Banana,4500,286000
Gujarat,BHARUCH,2011,Kharif,Maize,2300,3200
Gujarat,BHARUCH,2011,Kharif,Rice,10300,16500
Gujarat,BHARUCH,2011,Rabi,Maize,1000,2400
Gujarat,BHARUCH,2011,Summer,Maize,500,1000
Gujarat,BHARUCH,2011,Summer,Rice,2800,8900
Gujarat,BHARUCH,2011,Whole Year,Banana,8700,668300
Gujarat,BHARUCH,2012,Kharif,Maize,2600,4400
Gujarat,BHARUCH,2012,Kharif,Rice,9600,14100
Gujarat,BHARUCH,2012,Summer,Maize,200,400
Gujarat,BHARUCH,2012,Summer,Rice,2100,6300
Gujarat,BHARUCH,2012,Whole Year,Banana,8200,557100
Gujarat,BHAVNAGAR,1997,Whole Year,Banana,300,23300
Gujarat,BHAVNAGAR,1997,Whole Year,Maize,4100,6700
Gujarat,BHAVNAGAR,1997,Whole Year,Rice,100,200
Gujarat,BHAVNAGAR,1998,Kharif,Maize,5000,8500
Gujarat,BHAVNAGAR,1998,Whole Year,Banana,300,21600
Gujarat,BHAVNAGAR,1999,Kharif,Maize,5100,6600
Gujarat,BHAVNAGAR,1999,Kharif,Rice,100,200
Gujarat,BHAVNAGAR,1999,Whole Year,Banana,200,7600
Gujarat,BHAVNAGAR,2000,Kharif,Maize,5100,3800
Gujarat,BHAVNAGAR,2001,Kharif,Maize,3400,6700
Gujarat,BHAVNAGAR,2001,Kharif,Rice,100,200
Gujarat,BHAVNAGAR,2002,Kharif,Maize,1500,2600
Gujarat,BHAVNAGAR,2002,Kharif,Rice,100,100
Gujarat,BHAVNAGAR,2003,Kharif,Maize,400,800
Gujarat,BHAVNAGAR,2004,Kharif,Maize,100,100
Gujarat,BHAVNAGAR,2004,Whole Year,Banana,200,10500
Gujarat,BHAVNAGAR,2005,Kharif,Maize,900,1400
Gujarat,BHAVNAGAR,2005,Whole Year,Banana,200,14000
Gujarat,BHAVNAGAR,2006,Kharif,Maize,700,200
Gujarat,BHAVNAGAR,2006,Whole Year,Banana,100,4000
Gujarat,BHAVNAGAR,2007,Kharif,Maize,2800,3900
Gujarat,BHAVNAGAR,2008,Kharif,Maize,1300,1900
Gujarat,BHAVNAGAR,2009,Kharif,Maize,3900,3700
Gujarat,BHAVNAGAR,2010,Kharif,Maize,3200,5200
Gujarat,BHAVNAGAR,2011,Kharif,Maize,1100,1500
Gujarat,BHAVNAGAR,2011,Whole Year,Banana,100,6800
Gujarat,BHAVNAGAR,2012,Kharif,Maize,600,1000
Gujarat,DANG,1997,Whole Year,Maize,400,600
Gujarat,DANG,1997,Whole Year,Rice,11400,8800
Gujarat,DANG,1998,Kharif,Maize,500,900
Gujarat,DANG,1998,Kharif,Rice,12300,13500
Gujarat,DANG,1999,Kharif,Maize,500,600
Gujarat,DANG,1999,Kharif,Rice,13100,13000
Gujarat,DANG,2000,Kharif,Maize,400,300
Gujarat,DANG,2000,Kharif,Rice,12400,8300
Gujarat,DANG,2001,Kharif,Maize,400,800
Gujarat,DANG,2001,Kharif,Rice,12200,15300
Gujarat,DANG,2002,Kharif,Maize,400,700
Gujarat,DANG,2002,Kharif,Rice,14100,10700
Gujarat,DANG,2003,Kharif,Rice,14000,17100
Gujarat,DANG,2004,Kharif,Maize,300,300
Gujarat,DANG,2004,Kharif,Rice,12600,30500
Gujarat,DANG,2005,Kharif,Maize,2000,3200
Gujarat,DANG,2005,Kharif,Rice,15500,20900
Gujarat,DANG,2006,Kharif,Maize,2500,800
Gujarat,DANG,2006,Kharif,Rice,16900,20400
Gujarat,DANG,2006,Whole Year,Banana,100,1200
Gujarat,DANG,2007,Kharif,Maize,2200,3000
Gujarat,DANG,2007,Kharif,Rice,16800,22800
Gujarat,DANG,2007,Whole Year,Banana,100,2400
Gujarat,DANG,2008,Kharif,Maize,3100,4400
Gujarat,DANG,2008,Kharif,Rice,17900,22700
Gujarat,DANG,2009,Kharif,Maize,3300,3200
Gujarat,DANG,2009,Kharif,Rice,15800,17400
Gujarat,DANG,2010,Kharif,Maize,2700,4400
Gujarat,DANG,2010,Kharif,Rice,18000,23400
Gujarat,DANG,2011,Kharif,Maize,2700,3700
Gujarat,DANG,2011,Kharif,Rice,18000,30700
Gujarat,DANG,2012,Kharif,Maize,3600,5900
Gujarat,DANG,2012,Kharif,Rice,13800,21800
Gujarat,DANG,2012,Whole Year,Banana,100,4700
Gujarat,DOHAD,2003,Kharif,Maize,123700,224500
Gujarat,DOHAD,2003,Kharif,Rice,54600,75200
Gujarat,DOHAD,2004,Kharif,Maize,124000,78900
Gujarat,DOHAD,2004,Kharif,Rice,49700,39300
Gujarat,DOHAD,2005,Kharif,Maize,108800,155700
Gujarat,DOHAD,2005,Kharif,Rice,44900,35800
Gujarat,DOHAD,2006,Kharif,Maize,99100,13500
Gujarat,DOHAD,2006,Kharif,Rice,45700,38700
Gujarat,DOHAD,2007,Kharif,Maize,102100,110300
Gujarat,DOHAD,2007,Kharif,Rice,39300,38900
Gujarat,DOHAD,2008,Kharif,Maize,114600,158000
Gujarat,DOHAD,2008,Kharif,Rice,36100,24800
Gujarat,DOHAD,2009,Kharif,Maize,118100,102600
Gujarat,DOHAD,2009,Kharif,Rice,29700,7500
Gujarat,DOHAD,2010,Kharif,Maize,120000,203900
Gujarat,DOHAD,2010,Kharif,Rice,35800,32000
Gujarat,DOHAD,2010,Rabi,Maize,2600,4900
Gujarat,DOHAD,2011,Kharif,Maize,116900,141100
Gujarat,DOHAD,2011,Kharif,Rice,36200,31700
Gujarat,DOHAD,2011,Rabi,Maize,32900,60000
Gujarat,DOHAD,2012,Kharif,Maize,119100,200500
Gujarat,DOHAD,2012,Kharif,Rice,31800,35800
Gujarat,DOHAD,2012,Rabi,Maize,31600,60000
Gujarat,GANDHINAGAR,1997,Whole Year,Maize,300,400
Gujarat,GANDHINAGAR,1997,Whole Year,Rice,7200,19400
Gujarat,GANDHINAGAR,1998,Kharif,Maize,200,300
Gujarat,GANDHINAGAR,1998,Kharif,Rice,5900,15600
Gujarat,GANDHINAGAR,1999,Kharif,Maize,100,100
Gujarat,GANDHINAGAR,1999,Kharif,Rice,7900,24000
Gujarat,GANDHINAGAR,2000,Kharif,Maize,200,100
Gujarat,GANDHINAGAR,2000,Kharif,Rice,7600,17100
Gujarat,GANDHINAGAR,2001,Kharif,Maize,100,200
Gujarat,GANDHINAGAR,2001,Kharif,Rice,7000,17500
Gujarat,GANDHINAGAR,2001,Whole Year,Banana,10900,579800
Gujarat,GANDHINAGAR,2002,Kharif,Maize,200,400
Gujarat,GANDHINAGAR,2002,Kharif,Rice,4600,9900
Gujarat,GANDHINAGAR,2003,Kharif,Maize,700,1200
Gujarat,GANDHINAGAR,2003,Kharif,Rice,13100,35200
Gujarat,GANDHINAGAR,2004,Kharif,Rice,13200,29100
Gujarat,GANDHINAGAR,2005,Kharif,Rice,10000,27200
Gujarat,GANDHINAGAR,2005,Summer,Rice,300,900
Gujarat,GANDHINAGAR,2006,Kharif,Maize,1000,300
Gujarat,GANDHINAGAR,2006,Kharif,Rice,11300,25600
Gujarat,GANDHINAGAR,2006,Summer,Rice,3000,8600
Gujarat,GANDHINAGAR,2007,Kharif,Maize,400,500
Gujarat,GANDHINAGAR,2007,Kharif,Rice,12800,32000
Gujarat,GANDHINAGAR,2007,Summer,Rice,3000,9200
Gujarat,GANDHINAGAR,2008,Kharif,Maize,600,900
Gujarat,GANDHINAGAR,2008,Kharif,Rice,12800,26900
Gujarat,GANDHINAGAR,2009,Kharif,Maize,400,400
Gujarat,GANDHINAGAR,2009,Kharif,Rice,10600,22200
Gujarat,GANDHINAGAR,2010,Kharif,Maize,300,600
Gujarat,GANDHINAGAR,2010,Kharif,Rice,16000,36900
Gujarat,GANDHINAGAR,2010,Rabi,Maize,500,800
Gujarat,GANDHINAGAR,2011,Kharif,Maize,500,600
Gujarat,GANDHINAGAR,2011,Kharif,Rice,8800,20100
Gujarat,GANDHINAGAR,2012,Kharif,Maize,300,500
Gujarat,GANDHINAGAR,2012,Kharif,Rice,3500,8100
Gujarat,JAMNAGAR,1997,Whole Year,Maize,2700,4500
Gujarat,JAMNAGAR,1998,Kharif,Maize,1200,2100
Gujarat,JAMNAGAR,1999,Kharif,Maize,900,1100
Gujarat,JAMNAGAR,2000,Kharif,Maize,800,600
Gujarat,JAMNAGAR,2001,Kharif,Maize,600,1200
Gujarat,JAMNAGAR,2002,Kharif,Maize,2000,3400
Gujarat,JAMNAGAR,2003,Kharif,Maize,3000,5200
Gujarat,JAMNAGAR,2004,Kharif,Maize,2900,2600
Gujarat,JAMNAGAR,2005,Kharif,Maize,1600,2600
Gujarat,JAMNAGAR,2006,Kharif,Maize,2600,800
Gujarat,JAMNAGAR,2007,Kharif,Maize,1800,2500
Gujarat,JAMNAGAR,2008,Kharif,Maize,1900,2700
Gujarat,JAMNAGAR,2009,Kharif,Maize,1100,1000
Gujarat,JAMNAGAR,2010,Kharif,Maize,6300,10300
Gujarat,JUNAGADH,1997,Whole Year,Banana,400,10200
Gujarat,JUNAGADH,1997,Whole Year,Maize,700,1200
Gujarat,JUNAGADH,1997,Whole Year,Rice,100,200
Gujarat,JUNAGADH,1998,Kharif,Maize,200,400
Gujarat,JUNAGADH,1998,Whole Year,Banana,400,22000
Gujarat,JUNAGADH,1999,Kharif,Maize,200,300
Gujarat,JUNAGADH,1999,Whole Year,Banana,400,14700
Gujarat,JUNAGADH,2000,Kharif,Maize,200,100
Gujarat,JUNAGADH,2000,Whole Year,Banana,300,17400
Gujarat,JUNAGADH,2001,Whole Year,Banana,400,19500
Gujarat,JUNAGADH,2002,Kharif,Maize,100,100
Gujarat,JUNAGADH,2003,Whole Year,Banana,300,15800
Gujarat,JUNAGADH,2004,Whole Year,Banana,100,6400
Gujarat,JUNAGADH,2006,Whole Year,Banana,100,2400
Gujarat,JUNAGADH,2007,Whole Year,Banana,100,5400
Gujarat,JUNAGADH,2008,Whole Year,Banana,100,7400
Gujarat,JUNAGADH,2009,Whole Year,Banana,100,3900
Gujarat,JUNAGADH,2010,Rabi,Maize,24600,47400
Gujarat,JUNAGADH,2010,Whole Year,Banana,100,4800
Gujarat,JUNAGADH,2011,Kharif,Rice,200,500
Gujarat,KACHCHH,1997,Whole Year,Banana,300,17400
Gujarat,KACHCHH,1998,Whole Year,Banana,400,29500
Gujarat,KACHCHH,1999,Whole Year,Banana,300,22000
Gujarat,KACHCHH,2000,Whole Year,Banana,200,10500
Gujarat,KACHCHH,2001,Whole Year,Banana,100,8200
Gujarat,KACHCHH,2003,Whole Year,Banana,600,43100
Gujarat,KACHCHH,2004,Whole Year,Banana,200,13600
Gujarat,KACHCHH,2005,Whole Year,Banana,100,7200
Gujarat,KACHCHH,2012,Kharif,Maize,1700,2900
Gujarat,KHEDA,1997,Whole Year,Banana,6900,358800
Gujarat,KHEDA,1997,Whole Year,Maize,15200,30100
Gujarat,KHEDA,1997,Whole Year,Rice,155600,273500
Gujarat,KHEDA,1998,Kharif,Maize,12800,24600
Gujarat,KHEDA,1998,Kharif,Rice,145200,286400
Gujarat,KHEDA,1998,Whole Year,Banana,5900,368300
Gujarat,KHEDA,1999,Kharif,Maize,8600,19800
Gujarat,KHEDA,1999,Kharif,Rice,169100,363900
Gujarat,KHEDA,1999,Whole Year,Banana,6500,354400
Gujarat,KHEDA,2000,Kharif,Maize,12800,19900
Gujarat,KHEDA,2000,Kharif,Rice,112500,73400
Gujarat,KHEDA,2000,Summer,Rice,100,500
Gujarat,KHEDA,2000,Whole Year,Banana,11100,563500
Gujarat,KHEDA,2001,Kharif,Maize,20500,41100
Gujarat,KHEDA,2001,Kharif,Rice,171800,308400
Gujarat,KHEDA,2001,Summer,Rice,300,800
Gujarat,KHEDA,2002,Kharif,Maize,23100,64500
Gujarat,KHEDA,2002,Kharif,Rice,71200,93500
Gujarat,KHEDA,2002,Summer,Rice,200,800
Gujarat,KHEDA,2003,Kharif,Maize,25500,43900
Gujarat,KHEDA,2003,Kharif,Rice,98800,198900
Gujarat,KHEDA,2003,Summer,Rice,10000,34400
Gujarat,KHEDA,2004,Kharif,Maize,17200,23500
Gujarat,KHEDA,2004,Kharif,Rice,99400,223900
Gujarat,KHEDA,2004,Summer,Rice,2800,8100
Gujarat,KHEDA,2005,Kharif,Maize,22900,36200
Gujarat,KHEDA,2005,Kharif,Rice,89700,218500
Gujarat,KHEDA,2005,Summer,Rice,1800,5500
Gujarat,KHEDA,2005,Whole Year,Banana,100,4100
Gujarat,KHEDA,2006,Kharif,Maize,33100,22100
Gujarat,KHEDA,2006,Kharif,Rice,92400,169300
Gujarat,KHEDA,2006,Summer,Rice,7900,22200
Gujarat,KHEDA,2006,Whole Year,Banana,100,9700
Gujarat,KHEDA,2007,Kharif,Maize,20200,22700
Gujarat,KHEDA,2007,Kharif,Rice,99800,237400
Gujarat,KHEDA,2007,Summer,Rice,4800,15100
Gujarat,KHEDA,2007,Whole Year,Banana,100,3400
Gujarat,KHEDA,2008,Kharif,Maize,20200,30000
Gujarat,KHEDA,2008,Kharif,Rice,101100,211600
Gujarat,KHEDA,2008,Summer,Rice,2300,6500
Gujarat,KHEDA,2008,Whole Year,Banana,100,4400
Gujarat,KHEDA,2009,Kharif,Maize,14100,12600
Gujarat,KHEDA,2009,Kharif,Rice,87100,201300
Gujarat,KHEDA,2009,Summer,Rice,5300,14700
Gujarat,KHEDA,2009,Whole Year,Banana,100,5700
Gujarat,KHEDA,2010,Kharif,Maize,16700,30000
Gujarat,KHEDA,2010,Kharif,Rice,87300,210500
Gujarat,KHEDA,2010,Rabi,Maize,3600,6700
Gujarat,KHEDA,2010,Summer,Maize,3900,8100
Gujarat,KHEDA,2010,Summer,Rice,10100,25800
Gujarat,KHEDA,2011,Kharif,Maize,14800,25500
Gujarat,KHEDA,2011,Kharif,Rice,97500,212700
Gujarat,KHEDA,2011,Rabi,Maize,200,400
Gujarat,KHEDA,2011,Summer,Rice,12000,33800
Gujarat,KHEDA,2012,Kharif,Maize,8300,15100
Gujarat,KHEDA,2012,Kharif,Rice,81700,194500
Gujarat,KHEDA,2012,Summer,Maize,100,100
Gujarat,KHEDA,2012,Summer,Rice,2600,8300
Gujarat,MAHESANA,1997,Whole Year,Rice,13800,27300
Gujarat,MAHESANA,1998,Kharif,Maize,200,300
Gujarat,MAHESANA,1998,Kharif,Rice,11400,22200
Gujarat,MAHESANA,1999,Kharif,Maize,200,300
Gujarat,MAHESANA,1999,Kharif,Rice,11700,17200
Gujarat,MAHESANA,2000,Kharif,Maize,300,200
Gujarat,MAHESANA,2000,Kharif,Rice,10200,7100
Gujarat,MAHESANA,2001,Kharif,Maize,400,900
Gujarat,MAHESANA,2001,Kharif,Rice,12600,23600
Gujarat,MAHESANA,2002,Kharif,Maize,600,1000
Gujarat,MAHESANA,2002,Kharif,Rice,3700,5300
Gujarat,MAHESANA,2003,Kharif,Maize,400,700
Gujarat,MAHESANA,2003,Kharif,Rice,7200,9700
Gujarat,MAHESANA,2004,Kharif,Maize,100,100
Gujarat,MAHESANA,2004,Kharif,Rice,4500,10900
Gujarat,MAHESANA,2005,Kharif,Maize,1000,1500
Gujarat,MAHESANA,2005,Kharif,Rice,6000,13600
Gujarat,MAHESANA,2006,Kharif,Maize,100,100
Gujarat,MAHESANA,2006,Kharif,Rice,8100,16700
Gujarat,MAHESANA,2007,Kharif,Maize,100,100
Gujarat,MAHESANA,2007,Kharif,Rice,8300,19100
Gujarat,MAHESANA,2008,Kharif,Maize,1100,1600
Gujarat,MAHESANA,2008,Kharif,Rice,5900,12100
Gujarat,MAHESANA,2009,Kharif,Maize,600,600
Gujarat,MAHESANA,2009,Kharif,Rice,6200,15700
Gujarat,MAHESANA,2010,Kharif,Maize,600,1000
Gujarat,MAHESANA,2010,Kharif,Rice,8200,17400
Gujarat,MAHESANA,2010,Rabi,Maize,1500,3000
Gujarat,MAHESANA,2011,Kharif,Maize,500,600
Gujarat,MAHESANA,2011,Kharif,Rice,5400,9700
Gujarat,MAHESANA,2012,Kharif,Maize,400,600
Gujarat,MAHESANA,2012,Kharif,Rice,1400,3200
Gujarat,NARMADA,2003,Kharif,Maize,9800,22900
Gujarat,NARMADA,2003,Kharif,Rice,13900,10800
Gujarat,NARMADA,2003,Whole Year,Banana,4000,264600
Gujarat,NARMADA,2004,Kharif,Maize,7000,6400
Gujarat,NARMADA,2004,Kharif,Rice,12200,11400
Gujarat,NARMADA,2004,Whole Year,Banana,3400,238000
Gujarat,NARMADA,2005,Kharif,Maize,7400,11700
Gujarat,NARMADA,2005,Kharif,Rice,10800,8600
Gujarat,NARMADA,2005,Whole Year,Banana,4400,308600
Gujarat,NARMADA,2006,Kharif,Maize,5700,5700
Gujarat,NARMADA,2006,Kharif,Rice,13000,9700
Gujarat,NARMADA,2006,Whole Year,Banana,4000,283300
Gujarat,NARMADA,2007,Kharif,Maize,5700,8500
Gujarat,NARMADA,2007,Kharif,Rice,13600,11600
Gujarat,NARMADA,2007,Whole Year,Banana,4600,292900
Gujarat,NARMADA,2008,Kharif,Maize,5600,8100
Gujarat,NARMADA,2008,Kharif,Rice,15200,13700
Gujarat,NARMADA,2008,Whole Year,Banana,4300,301100
Gujarat,NARMADA,2009,Kharif,Maize,5100,4900
Gujarat,NARMADA,2009,Kharif,Rice,15000,8200
Gujarat,NARMADA,2009,Whole Year,Banana,4300,310400
Gujarat,NARMADA,2010,Kharif,Maize,5300,8700
Gujarat,NARMADA,2010,Kharif,Rice,12000,10500
Gujarat,NARMADA,2010,Rabi,Maize,4300,8100
Gujarat,NARMADA,2010,Summer,Maize,1800,3700
Gujarat,NARMADA,2010,Whole Year,Banana,5200,358600
Gujarat,NARMADA,2011,Kharif,Maize,5500,7600
Gujarat,NARMADA,2011,Kharif,Rice,17900,14700
Gujarat,NARMADA,2011,Rabi,Maize,3600,8100
Gujarat,NARMADA,2011,Summer,Maize,1800,3500
Gujarat,NARMADA,2011,Whole Year,Banana,5600,350900
Gujarat,NARMADA,2012,Kharif,Maize,5800,9800
Gujarat,NARMADA,2012,Kharif,Rice,11600,12800
Gujarat,NARMADA,2012,Summer,Maize,400,900
Gujarat,NARMADA,2012,Summer,Rice,100,100
Gujarat,NARMADA,2012,Whole Year,Banana,5800,376700
Gujarat,NAVSARI,2003,Kharif,Rice,43200,102900
Gujarat,NAVSARI,2003,Summer,Rice,6500,25200
Gujarat,NAVSARI,2003,Whole Year,Banana,200,10300
Gujarat,NAVSARI,2004,Kharif,Rice,42900,92200
Gujarat,NAVSARI,2004,Summer,Rice,4900,15200
Gujarat,NAVSARI,2004,Whole Year,Banana,200,11100
Gujarat,NAVSARI,2005,Kharif,Rice,34900,87400
Gujarat,NAVSARI,2005,Summer,Rice,5600,17900
Gujarat,NAVSARI,2005,Whole Year,Banana,200,13200
Gujarat,NAVSARI,2006,Kharif,Rice,35900,81800
Gujarat,NAVSARI,2006,Summer,Rice,6300,19100
Gujarat,NAVSARI,2006,Whole Year,Banana,200,15800
Gujarat,NAVSARI,2007,Kharif,Rice,44800,112500
Gujarat,NAVSARI,2007,Summer,Rice,6100,18800
Gujarat,NAVSARI,2007,Whole Year,Banana,200,17000
Gujarat,NAVSARI,2008,Kharif,Rice,46300,111200
Gujarat,NAVSARI,2008,Summer,Rice,6100,18200
Gujarat,NAVSARI,2008,Whole Year,Banana,300,20700
Gujarat,NAVSARI,2009,Kharif,Rice,59900,149000
Gujarat,NAVSARI,2009,Summer,Rice,1100,3100
Gujarat,NAVSARI,2009,Whole Year,Banana,300,17600
Gujarat,NAVSARI,2010,Kharif,Rice,62600,161300
Gujarat,NAVSARI,2010,Summer,Rice,24900,75300
Gujarat,NAVSARI,2010,Whole Year,Banana,100,10300
Gujarat,NAVSARI,2011,Kharif,Rice,52200,133900
Gujarat,NAVSARI,2011,Summer,Rice,27400,80700
Gujarat,NAVSARI,2011,Whole Year,Banana,300,18000
Gujarat,NAVSARI,2012,Kharif,Rice,51300,128200
Gujarat,NAVSARI,2012,Summer,Rice,8300,26900
Gujarat,NAVSARI,2012,Whole Year,Banana,200,12400
Gujarat,PANCH MAHALS,1997,Whole Year,Banana,100,3000
Gujarat,PANCH MAHALS,1997,Whole Year,Maize,190300,273500
Gujarat,PANCH MAHALS,1997,Whole Year,Rice,119200,141700
Gujarat,PANCH MAHALS,1998,Kharif,Maize,201800,305400
Gujarat,PANCH MAHALS,1998,Kharif,Rice,106600,104200
Gujarat,PANCH MAHALS,1999,Kharif,Maize,183700,204500
Gujarat,PANCH MAHALS,1999,Kharif,Rice,100400,40100
Gujarat,PANCH MAHALS,1999,Whole Year,Banana,100,5500
Gujarat,PANCH MAHALS,2000,Kharif,Maize,184300,103500
Gujarat,PANCH MAHALS,2000,Kharif,Rice,91200,9800
Gujarat,PANCH MAHALS,2000,Whole Year,Banana,100,4800
Gujarat,PANCH MAHALS,2001,Kharif,Maize,204300,379900
Gujarat,PANCH MAHALS,2001,Kharif,Rice,84900,20600
Gujarat,PANCH MAHALS,2001,Whole Year,Banana,100,4200
Gujarat,PANCH MAHALS,2002,Kharif,Maize,219200,422100
Gujarat,PANCH MAHALS,2002,Kharif,Rice,86200,26300
Gujarat,PANCH MAHALS,2003,Kharif,Maize,106500,143700
Gujarat,PANCH MAHALS,2003,Kharif,Rice,61600,62500
Gujarat,PANCH MAHALS,2003,Summer,Rice,100,500
Gujarat,PANCH MAHALS,2003,Whole Year,Banana,300,18500
Gujarat,PANCH MAHALS,2004,Kharif,Maize,114800,76900
Gujarat,PANCH MAHALS,2004,Kharif,Rice,69300,51600
Gujarat,PANCH MAHALS,2004,Summer,Rice,500,1300
Gujarat,PANCH MAHALS,2004,Whole Year,Banana,200,13200
Gujarat,PANCH MAHALS,2005,Kharif,Maize,117200,153600
Gujarat,PANCH MAHALS,2005,Kharif,Rice,71300,62800
Gujarat,PANCH MAHALS,2005,Summer,Rice,1200,3700
Gujarat,PANCH MAHALS,2005,Whole Year,Banana,200,13600
Gujarat,PANCH MAHALS,2006,Kharif,Maize,115700,20600
Gujarat,PANCH MAHALS,2006,Kharif,Rice,70800,50300
Gujarat,PANCH MAHALS,2006,Summer,Rice,300,900
Gujarat,PANCH MAHALS,2006,Whole Year,Banana,100,6000
Gujarat,PANCH MAHALS,2007,Kharif,Maize,117200,152800
Gujarat,PANCH MAHALS,2007,Kharif,Rice,77400,80700
Gujarat,PANCH MAHALS,2007,Summer,Rice,1000,3000
Gujarat,PANCH MAHALS,2007,Whole Year,Banana,100,7600
Gujarat,PANCH MAHALS,2008,Kharif,Maize,113900,133900
Gujarat,PANCH MAHALS,2008,Kharif,Rice,72100,51800
